"task","id","group","session","phase","piss","thirsty","hungry"
"internal",219,"obese","second",3,32.69231,45.32967,72.25275
"internal",219,"obese","second",4,9.89011,14.01099,63.73626
"internal",219,"obese","second",5,8.241758,11.53846,71.97802
"internal",220,"obese","second",1,22.25275,25.27473,70.05495
"internal",220,"obese","second",2,28.2967,33.51648,43.13187
"internal",220,"obese","second",3,32.14286,21.7033,28.57143
"internal",220,"obese","second",4,54.3956,61.53846,62.36264
"internal",220,"obese","second",5,58.24176,60.98901,68.68132
"internal",221,"obese","second",1,8.241758,8.241758,8.241758
"internal",221,"obese","second",2,17.85714,8.241758,8.241758
"internal",221,"obese","second",3,60.43956,8.241758,8.241758
"internal",221,"obese","second",4,8.241758,8.241758,8.241758
"internal",221,"obese","second",5,8.241758,8.241758,8.241758
"internal",222,"obese","second",1,8.241758,54.3956,32.96703
"internal",222,"obese","second",2,8.241758,56.04396,43.95604
"internal",222,"obese","second",3,8.241758,53.2967,43.13187
"internal",222,"obese","second",4,8.241758,55.76923,42.30769
"internal",222,"obese","second",5,15.93407,53.57143,54.67033
"internal",223,"obese","second",1,8.241758,53.02198,28.02198
"internal",223,"obese","second",2,8.241758,42.58242,58.51648
"internal",223,"obese","second",3,8.241758,18.95604,38.73626
"internal",223,"obese","second",4,8.241758,24.45055,27.47253
"internal",223,"obese","second",5,16.20879,14.56044,23.62637
"internal",224,"obese","second",1,9.340659,68.40659,74.17582
"internal",224,"obese","second",2,14.56044,29.94505,71.15385
"internal",224,"obese","second",3,45.87912,34.06593,64.28571
"internal",224,"obese","second",4,NA,NA,NA
"internal",224,"obese","second",5,85.43956,40.10989,60.16484
"internal",225,"obese","second",1,8.241758,67.30769,57.14286
"internal",225,"obese","second",2,10.71429,53.84615,8.241758
"internal",225,"obese","second",3,22.25275,8.241758,8.241758
"internal",225,"obese","second",4,91.75824,8.241758,8.241758
"internal",225,"obese","second",5,24.45055,8.241758,8.241758
"internal",226,"obese","second",1,50,56.04396,50
"internal",226,"obese","second",2,36.81319,50,54.67033
"internal",226,"obese","second",3,18.40659,18.68132,50
"internal",226,"obese","second",4,54.94505,50,25.54945
"internal",226,"obese","second",5,91.75824,8.241758,8.241758
