"task","id","group","session","trial","condition","trialxcondition","RT","ACC","liking"
"pav",114,"control","second",7,"CSplus",4,0.06602389,1,14.01099
"pav",114,"control","second",8,"CSminus",4,0.0001805737,1,15.10989
"pav",114,"control","second",9,"CSplus",5,0.0185529,1,14.01099
"pav",114,"control","second",10,"CSminus",5,0.0002751904,1,15.10989
"pav",114,"control","second",11,"CSminus",6,0.0001853847,1,15.10989
"pav",114,"control","second",12,"CSplus",6,0.03289424,1,14.01099
"pav",114,"control","second",13,"CSminus",7,0.0001853847,1,15.10989
"pav",114,"control","second",14,"CSplus",7,0.0001658199,1,14.01099
"pav",114,"control","second",15,"CSplus",8,0.0001751212,1,14.01099
"pav",114,"control","second",16,"CSminus",8,0.0002155338,1,15.10989
"pav",114,"control","second",17,"CSminus",9,0.0002206655,1,15.10989
