bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-control126_ses-second_task-inst_run-01_bold	0.0007682591093117411	0.011012613805668014	0	30.094219238861793	1.2419894721951212	1.0070487234146346	0.4994434185427196	3255.46875	0.1385247985856315	34	13.765182186234817	2.4478883534191427	2.3242933333333333	2.74473	2.274641726924094	0.00579316	-0.016163937747478485	0.017961377277970314	247	70	70	40	5.914556428597889	2.0	3.0	3.0	3.5999999046325684	38.936759139122614	6.902803839893129	28.623382568359375	12.862348556518555	116954.0	6.562753200531006	118.1000011444091	51.00300598144531	6.874111494275553	96.3841656853026	757.6688842773438	766.3097534179688	40510.0	571.4775421142579	925.1101531982422	129.56175231933594	61.13356541097164
sub-control127_ses-second_task-PIT_run-01_bold	0.0012675657894736846	0.011227635657894737	0	32.395803631736236	1.2165282767032968	1.0172182823956042	0.5342695552259153	2136.294677734375	0.14694645516658042	79	17.32456140350877	2.5673294650569822	2.481	2.886696666666667	2.3342917285042795	0.0189043	-0.022415241226553917	0.04655049741268158	456	70	70	40	5.33300940557826	2.0	3.0	3.0	3.5999999046325684	10.545700848293079	9.851500764906106	54.32959747314453	15.004385948181152	119329.0	6.690789699554443	279.4754394531246	96.37973022460938	5.182984490853533	94.04610814009762	707.1644897460938	719.8651123046875	38200.0	466.65974884033204	879.3607757568359	134.98114013671875	49.86795962986071
sub-control127_ses-second_task-hedonicreactivity_run-01_bold	0.0006510551181102362	0.012886121433070866	0	32.41826286673502	1.1644964809779175	0.99167625829653	0.5340281712206707	2149.3916015625	0.17981411635447192	195	30.708661417322833	2.5621283538025255	2.47388	2.8944466666666666	2.31805839474091	0.0274295	-0.020083118230104446	0.04768957570195198	635	70	70	40	5.328532984377773	2.0	3.0	3.0	3.5999999046325684	10.449340631547797	9.757156975777052	54.49209213256836	14.95590591430664	119452.0	6.770078659057617	280.25755157470695	96.85636138916016	5.124091961277804	94.96477133115405	709.5382690429688	722.3449096679688	38102.0	466.7072494506836	883.0146453857421	135.55990600585938	45.809480032883584
sub-control127_ses-second_task-pav_run-01_bold	0.0017306438631790745	0.01436439985915493	0	33.150672951108874	1.2034203046975798	1.0168931393548393	0.5348860030923277	2143.77783203125	0.17779157398196194	133	26.760563380281692	2.6079389097952554	2.5129466666666667	2.943303333333333	2.367566729385766	0.014318	-0.02272040769457817	0.04500710591673851	497	70	70	40	5.2506529860325335	2.0	3.0	3.0	3.5999999046325684	10.605144088258594	9.981462604120585	55.0139274597168	15.016096115112305	119169.0	6.638631629943848	283.7545166015624	98.08636474609375	5.03941734673389	94.36450022419258	707.7962646484375	721.3983764648438	38359.0	458.6734100341797	881.8438232421875	137.3903350830078	44.28534480580129
sub-control127_ses-second_task-inst_run-01_bold	0.0013743478260869568	0.012465833715415018	0	34.57848645746032	1.2348146417460317	1.0131690112698415	0.5353414377808883	2112.281494140625	0.17142174891483844	64	25.296442687747035	2.5709861316945086	2.47977	2.9021966666666668	2.3309917284168593	0.0120787	-0.02466180920600891	0.04445528984069824	253	70	70	40	5.379748011753055	2.0	3.0	3.0	3.5999999046325684	10.589838701007412	10.026610472695777	55.10331344604492	15.035573959350586	119558.0	6.707509994506836	283.2011886596678	97.87481689453125	5.5074021434801175	93.24277554764257	707.8374633789062	720.980224609375	38188.0	469.8494232177734	875.8456878662109	134.01571655273438	49.144424002210144
sub-control128_ses-second_task-PIT_run-01_bold	0.0032797136563876648	0.01732063425110132	0	33.81076160103752	1.1462727758940399	1.0293101751434877	0.556196400381747	1831.73828125	0.34485973653432034	301	66.29955947136564	2.4501815014339776	2.42409	2.66691	2.259544504301932	0.0288114	-0.01318204216659069	0.03398182988166809	454	70	70	40	5.5822215092887335	2.0	3.0	3.0	3.5999999046325684	14.556262823247486	10.923578480531603	49.23020553588867	15.729074478149414	111661.0	6.6938323974609375	228.70924377441406	83.31082916259766	4.915071997408316	99.79969787746475	702.8204956054688	706.946044921875	44774.0	517.8724700927735	879.7109863281249	126.64100646972656	40.89216280961409
sub-control128_ses-second_task-hedonicreactivity_run-01_bold	0.0018958349705304517	0.028494623182711197	0	41.20405797120076	1.075108259921259	0.9584425611023621	0.5594543603910422	1723.9990234375	0.5026136910984225	417	81.9253438113949	2.4905272424806646	2.45705	2.72034	2.2941917274419925	0.0229518	-0.014234713278710842	0.03362599015235901	509	70	70	40	5.56360310809189	2.0	3.0	3.0	3.5999999046325684	13.904420946901126	11.35690950748292	50.89631271362305	16.192535400390625	111710.0	6.858546257019043	235.39529800415028	84.4765396118164	4.58773860444428	99.79168943652617	700.91552734375	705.5481567382812	44769.0	510.9619079589844	877.40673828125	126.81355285644531	31.349180273828097
sub-control128_ses-second_task-pav_run-01_bold	0.002423453093812375	0.023706043912175647	0	40.35554906846	1.1271026365599994	0.9978210384200003	0.5547196769360881	1878.041259765625	0.5134679100167923	384	76.64670658682634	2.4711190942736962	2.4256033333333336	2.700223333333333	2.2875306161544224	0.025461	-0.011407308280467987	0.03569192439317703	501	70	70	40	5.615221362865805	2.0	3.0	3.0	3.5999999046325684	14.625067063145526	10.89313113463269	47.769290924072266	15.59880256652832	111513.0	6.506986141204834	218.68502807617168	80.42437744140625	4.627142450872603	101.64258944734853	704.45703125	707.7984008789062	44721.0	520.648681640625	884.8682861328125	126.04854583740234	33.783017246983945
sub-control128_ses-second_task-inst_run-01_bold	0.005223252032520325	0.016281788983739835	1	42.20875702722449	1.227201468897959	1.064059937265306	0.5518294044113473	1931.5302734375	0.4041520324461546	174	70.73170731707317	2.432911316154185	2.4004566666666665	2.6494466666666665	2.248830615129222	0.0211862	-0.009970453567802906	0.034401774406433105	246	70	70	40	5.650831873823178	2.0	3.0	3.0	3.5999999046325684	15.322704959005506	10.161249558136392	46.0630989074707	15.292682647705078	111486.0	6.808942794799805	213.40446090698242	78.87980651855469	4.674426371108535	100.73555433155319	705.85205078125	708.5263671875	44710.0	523.8802642822266	885.0841156005856	125.3830337524414	41.60099277016707
sub-control129_ses-second_task-PIT_run-01_bold	0.0030157236842105264	0.013915262324561403	0	26.975245373054943	1.1292295709670335	1.016214846351648	0.5391223964682136	2067.093994140625	0.15289018361552045	83	18.20175438596491	2.515932933315761	2.4116733333333333	2.8978366666666666	2.2382887999472834	0.0183221	-0.00896582193672657	0.05680882930755615	456	70	70	40	5.620396231120966	2.0	3.0	3.0	3.6000001430511475	11.250881784189284	10.270921650269539	52.05137634277344	14.64254379272461	116656.0	6.149122714996338	263.0745544433594	91.23902130126953	4.912952522270566	100.05284605289623	694.7002563476562	699.4166870117188	40235.0	515.1515625	865.6543823242187	124.44104766845703	45.84998352848925
