"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"110","sub-01",110,38,3,"bin05","incongr","CSpL",0.06007182,0,0,0,0.8486486,0.8267717,0,0.8267717,0,0.06800693,1,NA
"111","sub-01",111,37,3,"bin05","congr","CSpR",-0.3835614,0,0,0,0.703125,0,0,0,0.7692308,0.03905979,1,NA
"112","sub-01",112,39,3,"bin05","congr","CSpL",0.09700406,0,0,0,0.1046512,0.8333333,0,0.8333333,0,-0.06832523,1,NA
"113","sub-01",113,40,3,"bin05","congr","CSpL",0.01258349,0,0,0,0,0.3779528,0,0.3779528,0,0.009670474,1,NA
"114","sub-01",114,37,3,"bin05","incongr","CSmi",-0.2591715,0,0,0,0.4851485,0.3140496,0.1983471,0.2561983,0.07438017,-0.08036716,1,NA
"115","sub-01",115,38,3,"bin05","congr","CSpR",0.1016457,0,0,0,0.3958333,0,0,0,0.4916667,-0.2650703,1,NA
"116","sub-01",116,39,3,"bin05","congr","CSpR",-0.2964848,0,0,0,0.07407407,0,0,0,0.072,-0.07941847,1,NA
"117","sub-01",117,38,3,"bin05","congr","CSmi",-0.1494449,0,0,0,0.3,0.4330709,0.1496063,0.2913386,0.07086614,NA,1,NA
"118","sub-01",118,39,3,"bin05","congr","CSmi",0.4173535,0,0,0,0.6870748,0,0,0,0,NA,1,NA
"119","sub-01",119,40,3,"bin05","incongr","CSpR",-0.3157555,0,0,0,0.3333333,0,0.125,0.125,0.1416667,0.4215943,1,NA
"120","sub-01",120,40,3,"bin05","congr","CSmi",0.8955473,0,0,0,0,0,0,0,0.2764228,NA,1,NA
"121","sub-01",121,41,3,"bin05","congr","CSmi",-0.3054188,0,0,0,0.3367347,0.3833333,0.125,0.2541667,0.1916667,NA,1,NA
"122","sub-01",122,41,3,"bin05","congr","CSpL",0.4226962,0,0,0,0.7548387,0.8604651,0,0.8604651,0.07751938,-0.1876616,1,NA
"123","sub-01",123,42,3,"bin05","congr","CSpL",0.2194635,0,0,0,0.3555556,0.547619,0,0.547619,0.2619048,0.1727073,1,NA
"124","sub-01",124,41,3,"bin05","congr","CSpR",-0.3674007,0,0,0,0.5329949,0,0,0,0.7461538,0.07214182,1,NA
"125","sub-01",125,42,3,"bin05","congr","CSpR",-0.5247528,0,0,0,0.28125,0,0.07758621,0.07758621,0.05172414,0.09831041,1,NA
"126","sub-01",126,43,3,"bin05","incongr","CSpL",-0.04841486,0,0,0,0.5276074,0.6324786,0,0.6324786,0.08547009,-0.01458736,1,NA
"127","sub-01",127,43,3,"bin05","congr","CSpR",0.07763389,0,0,0,0.09836066,0,0.7017544,0.7017544,0,-0.01550877,1,NA
"128","sub-01",128,42,3,"bin05","incongr","CSmi",0.07055162,0,0,0,0.4972678,0,0,0,0.8045113,0.1420696,1,NA
"129","sub-01",129,44,3,"bin05","congr","CSpR",0.6181104,0,0,0,0.1153846,0,0,0,0.1264368,-0.03236396,1,NA
"130","sub-01",130,44,3,"bin05","congr","CSpL",-0.03781059,0,0,0,0,0,0,0,0,-0.01012508,1,NA
"131","sub-01",131,45,3,"bin05","congr","CSpR",0.02560304,0,0,0,0,0,0.0390625,0.0390625,0,NA,1,NA
"132","sub-01",132,43,3,"bin05","incongr","CSmi",0.5071975,0,0,0,0,0,0,0,0,-0.02997771,1,NA
"133","sub-01",133,44,3,"bin05","congr","CSmi",-0.4917275,0,0,0,0.1333333,0,0.03076923,0.01538462,0,NA,1,NA
"134","sub-01",134,45,3,"bin05","congr","CSmi",0.2253792,0,0,0,0,0,0,0,0,NA,1,NA
"135","sub-01",135,46,3,"bin06","congr","CSpR",-0.2742694,0,0,0,0,0,0,0,0,-0.09255705,1,NA
"136","sub-01",136,47,3,"bin06","congr","CSpR",0.06694409,0,0,0,0,0,0,0,0,0.2050402,1,NA
"137","sub-01",137,45,3,"bin05","congr","CSpL",-0.1884575,0,0,0,0,0,0,0,0,NA,1,NA
"138","sub-01",138,48,3,"bin06","congr","CSpR",0.4074785,0,0,0,0,0,0,0,0,0.04757635,1,NA
"139","sub-01",139,49,3,"bin06","congr","CSpR",-0.01843304,0,0,0,0,0,0,0,0,-0.002183363,1,NA
"140","sub-01",140,46,3,"bin06","congr","CSmi",-0.1630278,0,0,0,0,0,0,0,0,NA,1,NA
"141","sub-01",141,50,3,"bin06","congr","CSpR",-0.5104684,0,0,0,0,0,0.6176471,0.6176471,0,NA,1,NA
"142","sub-01",142,46,3,"bin06","congr","CSpL",0.5545663,0,0,0,0,0.4015748,0,0.4015748,0,0.09846874,1,NA
"143","sub-01",143,47,3,"bin06","incongr","CSmi",0.007612777,0,0,0,0.6682927,0,0,0,0.06557377,-0.03145574,1,NA
"144","sub-01",144,47,3,"bin06","congr","CSpL",0.2296126,0,0,0,0.5070423,0.484127,0,0.484127,0.3253968,-0.2500294,1,NA
