ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   83   29   02   bin04    congr   CSmi  -4.634931e-01   0   0   0   3.906250e-02   4.516129e-01   1.935484e-01   3.225806e-01   0   NaN   1   NaN
sub-01   84   27   02   bin03    congr   CSpR  1.001732e-01   0   0   0   1.086957e-02   0   0   0   8.771930e-03   -8.449999e-02   1   NaN
sub-01   85   28   02   bin04    congr   CSpR  -9.919477e-02   0   0   0   5.847953e-03   0   1.404959e-01   1.404959e-01   0   2.559755e-01   1   NaN
sub-01   86   30   02   bin04    congr   CSmi  -4.862948e-01   0   0   0   1.162791e-02   0   1.705426e-01   8.527132e-02   0   NaN   1   NaN
sub-01   87   29   02   bin04    congr   CSpR  8.158339e-01   0   0   0   0   0   4.836066e-01   4.836066e-01   0   -3.547484e-01   1   NaN
sub-01   88   30   02   bin04    congr   CSpR  2.842716e-01   0   0   0   1.846154e-01   0   1.240310e-01   1.240310e-01   2.015504e-01   -6.443556e-02   1   NaN
sub-01   89   29   02   bin04    congr   CSpL  2.953516e-01   0   0   0   3.246753e-01   6.136364e-01   0   6.136364e-01   1.060606e-01   -1.308781e-01   1   NaN
sub-01   90   30   02   bin04    congr   CSpL  -1.902250e-01   0   0   0   1.290323e-02   3.730159e-01   0   3.730159e-01   0   -3.178429e-02   1   NaN
sub-01   91   31   02   bin04    congr   CSmi  -4.828713e-01   0   0   0   1.896552e-01   0   0   0   0   NaN   1   NaN
sub-01   92   31   02   bin04    congr   CSpL  -1.628216e-01   0   0   0   3.296703e-01   3.787879e-01   0   3.787879e-01   0   3.914790e-02   1   NaN
sub-01   93   31   02   bin04    congr   CSpR  4.609647e-01   0   0   0   4.705882e-02   0   7.570093e-01   7.570093e-01   0   -4.249652e-02   1   NaN
sub-01   94   32   02   bin04    incongr   CSmi  -1.715443e-01   0   0   0   5.357143e-01   0   0   0   6.106870e-02   2.592499e-01   1   NaN
sub-01   95   33   02   bin04    congr   CSmi  -6.647752e-02   0   0   0   0   0   2.520325e-01   1.260163e-01   0   NaN   1   NaN
sub-01   96   32   02   bin04    congr   CSpR  -1.081687e-01   0   2.930233e-01   2.930233e-01   9.302326e-02   0   8.925620e-01   8.925620e-01   0   -8.139769e-02   1   NaN
sub-01   97   32   02   bin04    congr   CSpL  -2.725773e-01   0   0   0   0   1.640625e-01   0   1.640625e-01   2.265625e-01   -5.091735e-02   1   NaN
sub-01   98   33   02   bin04    congr   CSpL  -9.290974e-01   0   0   0   4.545455e-01   1.311475e-01   8.196721e-02   1.311475e-01   1.393443e-01   -3.260653e-01   1   NaN
sub-01   99   33   02   bin04    congr   CSpR  -3.105734e-01   0   0   0   1.123596e-02   0   0   0   8.064516e-03   -9.995739e-02   1   NaN
sub-01   100   34   02   bin04    incongr   CSpL  -2.684338e-01   0   0   0   5.000000e-01   0   0   0   2.030075e-01   1.667724e-01   1   NaN
sub-01   101   35   02   bin04    congr   CSpL  -3.182452e-01   0   0   0   5.952381e-03   1.250000e-01   7.500000e-02   1.250000e-01   0   4.046163e-02   1   NaN
